,Place of interest,Place address,Station name,Station address,Recorrido
0,Jardines Gregorio Ordóñez,CALLE PRINCIPE DE VERGARA 68,143 - Diego de León 52,Calle Diego de León nº 52,126.92
1,Jardines San Francisco el Grande,AVENIDA GRAN VIA DE SAN FRANCISCO 25,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,93.08
2,Jardines de Andrés Saborit,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 32,133 - Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,173.25
3,Jardines de El Buen Retiro,PLAZA INDEPENDENCIA 7,60 - Plaza de la Independencia,Plaza de la Independencia nº 6,53.25
4,Jardines de Gloria Fuertes,CALLE MADRE DE DIOS 2,254 - Pío XII,Avenida Pío XII nº 3,255.11
5,Jardines de José Luis Jiménez Manso,CALLE CAMINO DE LOS VINATEROS 1,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,305.99
6,Jardines de Perón,AVENIDA GENERAL PERON 21,154 - Orense 36,Calle Orense nº 36,283.87
7,Jardines de Sabatini,CALLE BAILEN 2,30 - San Quintín,Calle Pavía nº 6,203.18
8,Jardines de San Fernando,AVENIDA ALBERTO ALCOCER 9,157 - Castellana 164,Paseo de la Castellana nº 164,241.27
9,Jardines de la Avenida de Brasil,AVENIDA BRASIL 31,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,223.13
10,Jardines de la Basílica,CALLE BASILICA 15,151 - Orense 12,Calle Orense nº 12,38.49
11,Jardines de la Plaza Conde del Valle de Suchil,CALLE RODRIGUEZ SAN PEDRO 3 B,3 - Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,130.46
12,Jardines de la Plaza de Chamberí,PLAZA CHAMBERI 1,124 - Manuel Silvela,Calle Manuel Silvela nº 20,288.05
13,Jardines de la Plaza de Olavide,PLAZA OLAVIDE 16,124 - Manuel Silvela,Calle Manuel Silvela nº 20,233.34
14,"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval",CALLE BAILEN 17,30 - San Quintín,Calle Pavía nº 6,176.7
15,Jardines de la Plaza de la Villa de París,CALLE GENERAL CASTAÑOS 6,10 - Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,175.18
16,Jardines de la Vega,CUESTA VEGA 1,166 - Segovia 26,Calle Segovia nº 26,231.61
17,Jardines de la calle Teresita González Quevedo,PLAZA SAN AMARO 4,154 - Orense 36,Calle Orense nº 36,280.75
18,Jardines de las Vistillas,CALLE MORERIA 12,166 - Segovia 26,Calle Segovia nº 26,142.75
19,Jardines del Arquitecto Ribera,CALLE BARCELO 2,54 - Barceló,Calle Barceló nº 7,33.97
20,Jardines del Descubrimiento,CALLE GOYA 2,93 - Plaza de Colón,Calle Goya nº 1,87.57
21,Jardines del Doctor Fleming,CALLE DOCTOR FLEMING 1,253 - Doctor Fleming,Calle Doctor Fleming nº 7,146.91
22,Jardines del Mundial. Castellana,PASEO CASTELLANA 142 B,253 - Doctor Fleming,Calle Doctor Fleming nº 7,283.86
23,Jardines del Príncipe de Anglona,PLAZA PAJA 6,35 - Plaza del Cordón,Plaza del Cordón,153.55
