,title,address.street-address,location.latitude,location.longitude,name,address,longitude,latitude,Recorrido
0,Jardines Gregorio Ordóñez,CALLE PRINCIPE DE VERGARA 68,40.43346186779773,-3.6785954778654113,Bicipark Salamanca,Pl. del Marqués de Salamanca,-3.679172,40.430315,356.1619883929638
1,Jardines San Francisco el Grande,AVENIDA GRAN VIA DE SAN FRANCISCO 25,40.41002249621306,-3.7144199127869557,Bicipark Canalejas,-,-3.6994506,40.417807676,1881.3650769161993
2,Jardines de Andrés Saborit,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 32,40.44613326792272,-3.6989699295578347,Bicipark Orense,"Avenida General Perón, 27",-3.693897,40.452973,948.6612724768001
3,Jardines de El Buen Retiro,PLAZA INDEPENDENCIA 7,40.41964087412762,-3.68793370943788,Bicipark Montalban,"Calle de Montalbán, 5",-3.690786,40.418146,359.0642184298908
4,Jardines de Gloria Fuertes,CALLE MADRE DE DIOS 2,40.461517637696026,-3.6751179007317614,Bicipark Recuerdo,"Calle Hiedra, 26",-3.678921,40.472419,1285.5497400199445
5,Jardines de José Luis Jiménez Manso,CALLE CAMINO DE LOS VINATEROS 1,40.410944943237865,-3.660501733743551,Bicipark Salamanca,Pl. del Marqués de Salamanca,-3.679172,40.430315,2997.8070347825505
6,Jardines de Perón,AVENIDA GENERAL PERON 21,40.45257591499544,-3.6957817548357257,Bicipark Orense,"Avenida General Perón, 27",-3.693897,40.452973,214.84347079642484
7,Jardines de Sabatini,CALLE BAILEN 2,40.419911287101144,-3.713185308888602,Bicipark Canalejas,-,-3.6994506,40.417807676,1549.9374656409918
8,Jardines de San Fernando,AVENIDA ALBERTO ALCOCER 9,40.45978849094378,-3.687352342212426,Bicipark Orense,"Avenida General Perón, 27",-3.693897,40.452973,1052.9062804071934
9,Jardines de la Avenida de Brasil,AVENIDA BRASIL 31,40.458706953002235,-3.6934625569379387,Bicipark Orense,"Avenida General Perón, 27",-3.693897,40.452973,640.1378354813646
10,Jardines de la Basílica,CALLE BASILICA 15,40.44903638127448,-3.695615530710886,Bicipark Orense,"Avenida General Perón, 27",-3.693897,40.452973,478.31940007442734
11,Jardines de la Plaza Conde del Valle de Suchil,CALLE RODRIGUEZ SAN PEDRO 3 B,40.43137597367309,-3.7064685006782208,Bicipark Almagro,"Calle Almagro, 11",-3.692879,40.430361,1520.140272646934
12,Jardines de la Plaza de Chamberí,PLAZA CHAMBERI 1,40.43285328749453,-3.697594475998512,Bicipark Almagro,"Calle Almagro, 11",-3.692879,40.430361,594.6999038098375
13,Jardines de la Plaza de Olavide,PLAZA OLAVIDE 16,40.43247362678542,-3.7007855621824293,Bicipark Almagro,"Calle Almagro, 11",-3.692879,40.430361,912.8055083279046
14,"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval",CALLE BAILEN 17,40.41835486065351,-3.712838830603048,Bicipark Canalejas,-,-3.6994506,40.417807676,1494.7360152369015
15,Jardines de la Plaza de la Villa de París,CALLE GENERAL CASTAÑOS 6,40.42620255233654,-3.6934468983675846,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",-3.693698,40.425608,71.86854485733403
16,Jardines de la Vega,CUESTA VEGA 1,40.41476219795408,-3.7154411142835397,Bicipark Canalejas,-,-3.6994506,40.417807676,1815.7198091957168
17,Jardines de la calle Teresita González Quevedo,PLAZA SAN AMARO 4,40.45558642017734,-3.6970275649098454,Bicipark Orense,"Avenida General Perón, 27",-3.693897,40.452973,454.5228755448421
18,Jardines de las Vistillas,CALLE MORERIA 12,40.41281392212301,-3.7143597156687056,Bicipark Canalejas,-,-3.6994506,40.417807676,1753.5994302068052
19,Jardines del Arquitecto Ribera,CALLE BARCELO 2,40.42640449792336,-3.7002981748621955,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",-3.693698,40.425608,741.579928836532
20,Jardines del Descubrimiento,CALLE GOYA 2,40.42518540300912,-3.6887800207651495,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",-3.693698,40.425608,550.6183432522168
