,Place of interest,Place address,Station name,Station address,Recorrido
0,Jardines Gregorio Ordóñez,CALLE PRINCIPE DE VERGARA 68,Bicipark Salamanca,Pl. del Marqués de Salamanca,356.16
1,Jardines San Francisco el Grande,AVENIDA GRAN VIA DE SAN FRANCISCO 25,Bicipark Canalejas,-,1881.37
2,Jardines de Andrés Saborit,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 32,Bicipark Orense,"Avenida General Perón, 27",948.66
3,Jardines de El Buen Retiro,PLAZA INDEPENDENCIA 7,Bicipark Montalban,"Calle de Montalbán, 5",359.06
4,Jardines de Gloria Fuertes,CALLE MADRE DE DIOS 2,Bicipark Recuerdo,"Calle Hiedra, 26",1285.55
5,Jardines de José Luis Jiménez Manso,CALLE CAMINO DE LOS VINATEROS 1,Bicipark Salamanca,Pl. del Marqués de Salamanca,2997.81
6,Jardines de Perón,AVENIDA GENERAL PERON 21,Bicipark Orense,"Avenida General Perón, 27",214.84
7,Jardines de Sabatini,CALLE BAILEN 2,Bicipark Canalejas,-,1549.94
8,Jardines de San Fernando,AVENIDA ALBERTO ALCOCER 9,Bicipark Orense,"Avenida General Perón, 27",1052.91
9,Jardines de la Avenida de Brasil,AVENIDA BRASIL 31,Bicipark Orense,"Avenida General Perón, 27",640.14
10,Jardines de la Basílica,CALLE BASILICA 15,Bicipark Orense,"Avenida General Perón, 27",478.32
11,Jardines de la Plaza Conde del Valle de Suchil,CALLE RODRIGUEZ SAN PEDRO 3 B,Bicipark Almagro,"Calle Almagro, 11",1520.14
12,Jardines de la Plaza de Chamberí,PLAZA CHAMBERI 1,Bicipark Almagro,"Calle Almagro, 11",594.7
13,Jardines de la Plaza de Olavide,PLAZA OLAVIDE 16,Bicipark Almagro,"Calle Almagro, 11",912.81
14,"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval",CALLE BAILEN 17,Bicipark Canalejas,-,1494.74
15,Jardines de la Plaza de la Villa de París,CALLE GENERAL CASTAÑOS 6,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",71.87
16,Jardines de la Vega,CUESTA VEGA 1,Bicipark Canalejas,-,1815.72
17,Jardines de la calle Teresita González Quevedo,PLAZA SAN AMARO 4,Bicipark Orense,"Avenida General Perón, 27",454.52
18,Jardines de las Vistillas,CALLE MORERIA 12,Bicipark Canalejas,-,1753.6
19,Jardines del Arquitecto Ribera,CALLE BARCELO 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",741.58
20,Jardines del Descubrimiento,CALLE GOYA 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",550.62
21,Jardines del Doctor Fleming,CALLE DOCTOR FLEMING 1,Bicipark Orense,"Avenida General Perón, 27",532.63
22,Jardines del Mundial. Castellana,PASEO CASTELLANA 142 B,Bicipark Orense,"Avenida General Perón, 27",503.68
23,Jardines del Príncipe de Anglona,PLAZA PAJA 6,Bicipark Canalejas,-,1426.74
24,Jardín Botánico de Pradolongo,AVENIDA RAFAELA YBARRA,Bicipark Canalejas,-,5106.34
25,Jardín Concejal Alejandro Muñoz Revenga,CALLE MELENDEZ VALDES 32,Bicipark Almagro,"Calle Almagro, 11",2178.94
26,Jardín Doña Concha Piquer,PASEO IMPERIAL 93,Bicipark Canalejas,-,2461.79
27,Jardín Fachada Pirámides I,PASEO ACACIAS 60,Bicipark Canalejas,-,2372.7
28,Jardín Glorieta de Azorín,CUESTA VEGA 3,Bicipark Canalejas,-,1895.95
29,Jardín Jazmín,CALLE ROQUETAS DE MAR 10,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,462.44
30,Jardín Palacio O'Reilly,PLAZA CRUZ VERDE 2,Bicipark Canalejas,-,1438.31
31,Jardín de Embajadores M-30,CALLE PUERTO DE LA CRUZ VERDE 29,Bicipark Montalban,"Calle de Montalbán, 5",3820.96
32,Jardín de Larra,CALLE FACTOR 7,Bicipark Canalejas,-,1497.66
33,Jardín de la Colonia Congosto,CALLE CONGOSTO 70,Bicipark Salamanca,Pl. del Marqués de Salamanca,9473.79
34,Jardín de las Bellas Artes,PASEO CASTELLANA 78 B,Bicipark Almagro,"Calle Almagro, 11",996.62
35,Jardín del Bulevar de Peña Gorbea,CALLE PEÑA GORBEA 17 B,Bicipark Montalban,"Calle de Montalbán, 5",3635.64
36,Jardín del Maestro Padilla,CALLE SAN ALEJANDRO 1,Bicipark Canalejas,-,2855.69
37,Jardín del Templo de Debod,CALLE FERRAZ 1,Bicipark Canalejas,-,2035.99
38,Jardín del paseo Federico García Lorca,PASEO FEDERICO GARCIA LORCA 21,Bicipark Salamanca,Pl. del Marqués de Salamanca,8792.84
39,Jardín el Torero,CALLE TORERO 6,Bicipark Canalejas,-,2934.79
40,Jardín histórico El Capricho de la Alameda Osuna,PASEO ALAMEDA DE OSUNA 25,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,7788.1
41,Palacio de Cristal de la Arganzuela: Invernadero,PASEO CHOPERA 10,Bicipark Canalejas,-,2720.2
42,Parque Agustín Rodríguez Sahagún,PASEO DIRECCION 301,Bicipark Orense,"Avenida General Perón, 27",2220.4
43,Parque Alcalde Jesús Pérez Quijano,CALLE LADERA DE LOS ALMENDROS,Bicipark Salamanca,Pl. del Marqués de Salamanca,6917.8
44,Parque Alfredo Kraus,CALLE MAR ADRIATICO 5,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3056.17
45,Parque Almansa,CALLE ALMANSA 97,Bicipark Orense,"Avenida General Perón, 27",2208.33
46,Parque Aluche,CALLE TEMBLEQUE 45,Bicipark Aviación,Parking Aviación Española,2978.47
47,Parque Aluche - Poblados,CALLE GUAREÑA 22,Bicipark Aviación,Parking Aviación Española,2075.75
48,Parque Alzola,CALLE BEASAIN 2,Bicipark Canalejas,-,5855.84
49,Parque Antonio Pirala,CALLE ANTONIO PIRALA 8,Bicipark Salamanca,Pl. del Marqués de Salamanca,2185.57
50,Parque Anunciación,CALLE ANUNCIACION 1,Bicipark Montalban,"Calle de Montalbán, 5",1805.87
51,Parque Arquitecto Antonio Palacios,CALLE FENELON 17,Bicipark Salamanca,Pl. del Marqués de Salamanca,7907.52
52,Parque Arroyo Fontarrón,CALLE ARROYO FONTARRON 22,Bicipark Salamanca,Pl. del Marqués de Salamanca,6218.89
53,Parque Arroyo Fresno,AVENIDA VENTISQUERO DE LA CONDESA 43,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",957.57
54,Parque Arroyo Pozuelo,Calle Arroyo Pozuelo ,Bicipark Aviación,Parking Aviación Española,7909.14
55,Parque Arroyo de los Pinos,CALLE JOAQUIN LORENZO 21,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",2506.56
56,Parque Avenida de Portugal,AUTOVIA A-5 300,Bicipark Canalejas,-,4088.36
57,Parque Azorín,AVENIDA ALBUFERA 142,Bicipark Montalban,"Calle de Montalbán, 5",5018.25
58,Parque Barrio Las Musas,AVENIDA NIZA 55 B,Bicipark Salamanca,Pl. del Marqués de Salamanca,7981.91
59,Parque Begoña,CALLE SAN MODESTO 1,Bicipark Recuerdo,"Calle Hiedra, 26",1578.73
60,Parque Biosaludable,PASEO ALAMEDA DE OSUNA 8,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,7557.75
61,Parque Campo de la Paloma,AVENIDA RAFAEL ALBERTI 38,Bicipark Montalban,"Calle de Montalbán, 5",6517.29
62,Parque Caramuel,CALLE CARAMUEL 53,Bicipark Canalejas,-,3508.56
63,Parque Cerro Almodóvar,CALLE MARCELINO CASTILLO 29,Bicipark Aviación,Parking Aviación Española,4501.35
64,Parque Cerro Peñabel,CALLE CANDIDO MATEOS 12,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",2549.05
65,Parque Cerro del Tío Pío,CALLE BENJAMIN PALENCIA 2,Bicipark Salamanca,Pl. del Marqués de Salamanca,4567.72
66,Parque Cerro Águila,CAMINO CERRO DEL AGUILA 1,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",6397.03
67,Parque Ciudad de los Ángeles,CALLE ANOETA 14 B,Bicipark Canalejas,-,7239.05
68,Parque Cuesta del Galbán,CUESTA GALBAN 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7007.74
69,Parque Cuña Verde de Vicálvaro. Zona A,AVENIDA DAROCA 300,Bicipark Salamanca,Pl. del Marqués de Salamanca,7196.58
70,Parque Cuña Verde de Vicálvaro. Zona B,AVENIDA DAROCA 299,Bicipark Salamanca,Pl. del Marqués de Salamanca,7330.43
71,Parque Cuña Verde de Vicálvaro. Zona C,AVENIDA CANILLEJAS A VICALVARO 102,Bicipark Salamanca,Pl. del Marqués de Salamanca,7769.31
72,Parque Dehesa de la Villa,CARRETERA DEHESA DE LA VILLA 1,Bicipark Orense,"Avenida General Perón, 27",3048.39
73,Parque Duque de Ahumada,CALLE LAGO VAN 16,Bicipark Salamanca,Pl. del Marqués de Salamanca,8615.98
74,Parque El Calero,CALLE JOSE DEL HIERRO 1,Bicipark Salamanca,Pl. del Marqués de Salamanca,3093.64
75,Parque El Cedral,CALLE ARTURO SORIA 233,Bicipark Recuerdo,"Calle Hiedra, 26",1876.97
76,Parque El Cruce,CALLE ALCOCER 1,Bicipark Canalejas,-,7460.85
77,Parque Emir Mohamed I,CUESTA RAMON 1,Bicipark Canalejas,-,1752.87
78,Parque Emperatriz María de Austria,CALLE VIA LUSITANA 3,Bicipark Canalejas,-,4729.97
79,Parque Enrique Tierno Galván,CALLE MENESES 4,Bicipark Montalban,"Calle de Montalbán, 5",3074.25
80,Parque Entrevías Forestal,CALLE EMBAJADORES 251,Bicipark Montalban,"Calle de Montalbán, 5",6197.35
81,Parque Entrevías Urbano,RONDA SUR 8,Bicipark Montalban,"Calle de Montalbán, 5",5590.17
82,Parque Este de Valdebernardo,AVENIDA DEMOCRACIA 25,Bicipark Salamanca,Pl. del Marqués de Salamanca,7927.0
83,Parque Eugenia de Montijo,CALLE PARQUE EUGENIA DE MONTIJO 3,Bicipark Aviación,Parking Aviación Española,3485.41
84,Parque Eva Duarte,CALLE DOCTOR GOMEZ ULLA 9,Bicipark Salamanca,Pl. del Marqués de Salamanca,1243.76
85,Parque Forestal Fuente Carrantona,CALLE FUENTE CARRANTONA 38,Bicipark Salamanca,Pl. del Marqués de Salamanca,5958.85
86,Parque Forestal Julio Alguacil Gómez,PARQUE Ctra Carabanchel a Villaverde  con vuelta Calle Verde Viento ,Bicipark Canalejas,-,6672.09
87,Parque Forestal de Valdebebas-Felipe VI,AVENIDA LAS FUERZAS ARMADAS 11,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,2411.38
88,Parque Forestal de Vicálvaro,PASEO POLIDEPORTIVO 1,Bicipark Salamanca,Pl. del Marqués de Salamanca,8434.01
89,Parque Félix Rodríguez de la Fuente,CALLE PADRE CLARET 38,Bicipark Recuerdo,"Calle Hiedra, 26",2726.14
90,Parque General Fanjul - Santa Margarita,AVENIDA DE LAS ÁGUILAS 144,Bicipark Aviación,Parking Aviación Española,351.63
91,Parque Hortaleza,CARRETERA ESTACION DE HORTALEZA 18,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,1453.95
92,Parque Huerta del Obispo.,CALLE PALOMARES 34,Bicipark Canalejas,-,8010.66
93,Parque Juan Carlos I,"GLORIETA S.A.R. DON JUAN DE BORBON Y BATTEMBERG, 5 5",Bicipark Fuente de la Mora,Estación de Fuente de la Mora,6035.91
94,Parque Juan Pablo II,AVENIDA MACHUPICHU 1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5480.26
95,Parque Juan de la Cosa,CALLE VICTOR ANDRES BELAUNDE 1,Bicipark Orense,"Avenida General Perón, 27",1648.68
96,Parque La Rinconada,CALLE HIENDELAENCINA 9,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",6307.35
97,Parque La Viña,CALLE TIMOTEO PEREZ RUBIO 9,Bicipark Montalban,"Calle de Montalbán, 5",4065.76
98,Parque Ladera de los Almendros,CALLE LADERA DE LOS ALMENDROS 46,Bicipark Salamanca,Pl. del Marqués de Salamanca,7034.91
99,Parque Lineal de Palomeras,AVENIDA ALBUFERA 293,Bicipark Salamanca,Pl. del Marqués de Salamanca,6880.22
100,Parque Lineal del Manzanares (Usera - Pte de Vallecas),CAMINO PERALES 47,Bicipark Montalban,"Calle de Montalbán, 5",4275.59
101,Parque Madrid Río,PASARELA HISTORICA PASEO DE LAS YESERIAS ,Bicipark Canalejas,-,2630.05
102,Parque Martala,AVENIDA MORATALAZ 183,Bicipark Salamanca,Pl. del Marqués de Salamanca,4604.97
103,Parque Martin Luther King,CALLE CERRO NEGRO 1,Bicipark Montalban,"Calle de Montalbán, 5",3199.89
104,Parque Meseta de Orcasitas,RONDA COOPERATIVAS 6,Bicipark Canalejas,-,5691.07
105,Parque Mirador de Tierno Galván,CALLE NEBULOSAS 7,Bicipark Montalban,"Calle de Montalbán, 5",2668.76
106,Parque Mirador de las Cárcavas,CALLE RAFAELA APARICIO 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3408.52
107,Parque Norte,CALLE ARZOBISPO MORCILLO 7,Bicipark Recuerdo,"Calle Hiedra, 26",1875.58
108,Parque Nudo Norte de Begoña,AVENIDA LLANO CASTELLANO 1,Bicipark Recuerdo,"Calle Hiedra, 26",1419.69
109,Parque Olof Palme,CALLE CERECINOS 1,Bicipark Canalejas,-,4012.43
